Time,RSL
2435.4,57.871
2435.5,57.842
2435.6,57.798
2435.7,57.778
2435.8,57.793
2435.9,57.793
2436.0,57.811
2436.1,57.811
2436.2,57.797
2436.3,57.771
2436.4,57.733
2436.5,57.703
2436.6,57.661
2436.7,57.614
2436.8,57.573
2436.9,57.566
2437.0,57.535
2437.1,57.473
2437.2,57.426
2437.3,57.394
2437.4,57.366
2437.5,57.354
2437.6,57.337
2437.7,57.330
2437.8,57.283
2437.9,57.202
2438.0,57.144
2438.1,57.068
2438.2,56.989
2438.3,56.881
2438.4,56.747
2438.5,56.610
2438.6,56.464
2438.7,56.324
2438.8,56.192
2438.9,56.050
2439.0,55.910
2439.1,55.723
2439.2,55.536
2439.3,55.313
2439.4,55.094
2439.5,54.882
2439.6,54.677
2439.7,54.505
2439.8,54.336
2439.9,54.189
2440.0,54.010
2440.1,53.813
2440.2,53.606
2440.3,53.389
2440.4,53.179
2440.5,53.002
2440.6,52.836
2440.7,52.656
2440.8,52.519
2440.9,52.373
2441.0,52.258
2441.1,52.110
2441.2,51.973
2441.3,51.834
2441.4,51.675
2441.5,51.513
2441.6,51.335
2441.7,51.179
2441.8,51.040
2441.9,50.914
2442.0,50.794
2442.1,50.629
2442.2,50.474
2442.3,50.333
2442.4,50.197
2442.5,50.050
2442.6,49.902
2442.7,49.737
2442.8,49.551
2442.9,49.356
2443.0,49.190
2443.1,48.965
2443.2,48.708
2443.3,48.468
2443.4,48.250
2443.5,48.014
2443.6,47.748
2443.7,47.481
2443.8,47.201
2443.9,46.937
2444.0,46.662
2444.1,46.311
2444.2,45.991
2444.3,45.667
2444.4,45.352
2444.5,45.047
2444.6,44.722
2444.7,44.377
2444.8,44.044
2444.9,43.723
2445.0,43.357
2445.1,42.931
2445.2,42.500
2445.3,42.080
2445.4,41.661
